State,Gender,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Trinidad and Tobago,Females,,,,,  26 ,  39 ,  34 ,  30 ,  57 ,  40 ,  53 ,  30 ,  45 ,  40 ,  45 ,  29 ,
Trinidad and Tobago,Males,,,,,  234 ,  347 ,  337 ,  361 ,  490 ,  467 ,  420 ,  322 ,  335 ,  368 ,  360 ,  391 ,
Turks and Caicos Islands,Females,,,  0   ,,,,,  1 ,  1 ,  0   ,,,,  1 ,  0   ,,
Turks and Caicos Islands,Males,,,  2 ,,,,,  1 ,  1 ,  2 ,,,,  3 ,  2 ,,
United States Virgin Islands,Females,  3 ,  2 ,  5 ,  3 ,  1 ,  3 ,  4 ,  3 ,  2 ,  2 ,  7 ,  3 ,  2 ,,,,
United States Virgin Islands,Males,  20 ,  26 ,  36 ,  28 ,  36 ,  34 ,  39 ,  40 ,  44 ,  48 ,  49 ,  42 ,  50 ,,,,
Belize,Females,,,,,  14 ,,,,,  9 ,  16 ,  12 ,  14 ,  10 ,  12 ,  9 ,  15
Belize,Males,,,,,  65 ,,,,,  88 ,  113 ,  112 ,  131 ,  89 ,  111 ,  110 ,  123
Costa Rica,Females,  40 ,  28 ,  34 ,  38 ,  39 ,  61 ,  45 ,  37 ,  60 ,  59 ,  61 ,  64 ,  50 ,  36 ,  51 ,,
Costa Rica,Males,  209 ,  229 ,  224 ,  262 ,  241 ,  274 ,  306 ,  332 ,  452 ,  466 ,  466 ,  410 ,  357 ,  375 ,  426 ,,
El Salvador,Females,,,,,,  398 ,  447 ,  340 ,  317 ,  592 ,  562 ,  628 ,  322 ,  217 ,  294 ,  575 ,  527
El Salvador,Males,,,,,,  3484 ,  3480 ,  3157 ,  2862 ,  3790 ,  3425 ,  3743 ,  2272 ,  2296 ,  3627 ,  6081 ,  4730
Guatemala,Females,,,,,  497 ,  518 ,  603 ,  590 ,  687 ,  720 ,  695 ,  632 ,  573 ,  654 ,  630 ,,
